source,destination,type_avis,date_avis
"oliver","patrick_perez","nope","2025-02-23"
"isa_belle","raygarnier","nope","2025-03-23"
"marie88","mercier59","nope","2025-02-13"
"sophie","ymathieu","nope","2025-05-09"
"brunaa","garciap","nope","2025-03-07"
"ll9933","chris94","nope","2025-02-24"
"bernard_l","robertmasson","nope","2025-05-05"
"dupontdupond","helene_vincent","nope","2025-04-17"
"falin","martine95","nope","2025-02-07"
"raygarnier","_hellene","nope","2025-03-11"
"dupontdupond","ta_super_copine","nope","2025-04-19"
"michelb","nicoledubois","nope","2025-01-21"
"chris96","claudewhite","nope","2025-03-30"
"isa37","raymond_du_13","nope","2025-03-29"
"sophie","georgesd","nope","2025-01-09"
"alainnn","marc_le_grand","nope","2025-01-28"
"patrick_perez","morel_eric","nope","2025-03-24"
"brunaa","tj007","nope","2025-02-13"
"mercier59","tj007","nope","2025-04-06"
"michelb","falin","nope","2025-02-17"
"raygarnier","nath33","nope","2025-01-08"
"sophie","meunierbruno","nope","2025-04-23"
"supermatth","isa_belle","nope","2025-05-10"
"chris96","michmich","nope","2025-02-07"
"raymond_du_13","ta_super_copine","nope","2025-05-16"
"alainnn","chris94","nope","2025-02-17"
"bernard_l","ymathieu","nope","2025-01-19"
"mercier59","gillesl","nope","2025-02-18"
"ta_super_copine","filozof","nope","2025-05-05"
"sophie","nath33","nope","2025-01-01"
"michelb","_hellene","nope","2025-05-07"
"_hellene","vingt_cent","nope","2025-02-24"
"marc_le_grand","isa37","nope","2025-04-14"
"oliver","paul_bernard","nope","2025-01-31"
"morel_eric","henri04","nope","2025-03-24"
"ta_super_copine","soso99","nope","2025-05-09"
"chris94","patrick_perez","nope","2025-05-15"
"nath33","eric35","nope","2025-01-14"
"martine95","ll9933","nope","2025-04-06"
"robertmasson","raygarnier","nope","2025-03-10"
"raygarnier","falin","nope","2025-04-21"
"chris94","robertmasson","nope","2025-01-02"
"eric35","meunierbruno","nope","2025-05-14"
"alainnn","ta_super_copine","nope","2025-05-03"
"chris94","oliver","nope","2025-04-17"
"fabrejean","robertmasson","nope","2025-03-27"
"alainnn","michmich","nope","2025-05-07"
"morel_eric","albertmat","nope","2025-02-05"
"alainnn","ymathieu","nope","2025-04-28"
"fabrejean","michmich","nope","2025-05-09"
"alainnn","eric35","nope","2025-03-30"
"meunierbruno","vingt_cent","nope","2025-03-11"
"morel_eric","nath33","nope","2025-03-26"
"alainnn","falin","nope","2025-02-22"
"sophie","mercier59","nope","2025-05-06"
"oliver","helene_vincent","nope","2025-05-15"
"patrick_perez","plbrest","nope","2025-02-21"
"alainnn","bernard_l","nope","2025-01-20"
"michelb","soso99","nope","2025-04-05"
"ta_super_copine","domdom1992","nope","2025-02-07"
"chris96","tj007","nope","2025-03-02"
"vingt_cent","georgesd","nope","2025-02-24"
"chris96","georgesd","nope","2025-05-12"
"falin","thierry9292","nope","2025-03-29"
"albertmat","oliver","nope","2025-02-20"
"ll9933","ta_super_copine","nope","2025-02-16"
"reneaubert","sanchezzz","nope","2025-02-01"
"chris94","falin","nope","2025-03-22"
"morel_eric","bernard_l","nope","2025-04-09"
"tj007","nath33","nope","2025-05-14"
"georgesd","michelb","nope","2025-02-24"
"ll9933","falin","nope","2025-02-11"
"soso99","raygarnier","nope","2025-01-14"
"patoche","henri04","nope","2025-05-09"
"nathalie79","fabrejean","nope","2025-03-13"
"_hellene","isa_belle","nope","2025-01-02"
"claudewhite","sophie","nope","2025-04-14"
"georgesd","nathalie79","nope","2025-03-19"
"paul_bernard","ll9933","nope","2025-02-06"
"tj007","oliver","nope","2025-02-24"
"falin","plbrest","nope","2025-04-15"
"michmich","denisparis","nope","2025-04-22"
"robertmasson","nath33","nope","2025-03-26"
"meunierbruno","_hellene","nope","2025-03-26"
"chris94","isa_belle","nope","2025-05-11"
"patrick_perez","nath33","nope","2025-02-03"
"fabrejean","chris94","nope","2025-05-06"
"paul_bernard","raygarnier","nope","2025-05-16"
"michelb","thierry9292","nope","2025-04-20"
"morel_eric","alainnn","nope","2025-03-25"
"isa_belle","garciap","nope","2025-01-16"
"ta_super_copine","eric35","nope","2025-02-08"
"fabrejean","thierry9292","nope","2025-04-12"
"mercier59","claudewhite","nope","2025-05-07"
"serge01","brunaa","nope","2025-05-05"
"raygarnier","ymathieu","nope","2025-05-17"
"ymathieu","thierry9292","nope","2025-03-17"
"fabrejean","isa_belle","nope","2025-02-28"
"alainnn","raygarnier","nope","2025-01-07"
"soso99","morel_eric","nope","2025-01-19"
"reneaubert","nicoledubois","nope","2025-01-24"
"tj007","sanchezzz","nope","2025-03-01"
"meunierbruno","eric35","nope","2025-05-15"
"paul_bernard","denisparis","nope","2025-01-25"
"_hellene","georgesd","nope","2025-04-09"
"fabrejean","sophie","nope","2025-02-16"
"meunierbruno","marc_le_grand","nope","2025-01-29"
"morel_eric","michelb","nope","2025-02-23"
"oliver","brunaa","nope","2025-01-09"
"eric35","falin","nope","2025-03-10"
"soso99","mercier59","nope","2025-02-25"
"nathalie79","ll9933","nope","2025-02-06"
"martine95","bernard_l","nope","2025-05-15"
"eric35","ta_super_copine","nope","2025-04-23"
"ll9933","plbrest","nope","2025-05-11"
"fabrejean","michelb","nope","2025-04-03"
"ll9933","chris96","nope","2025-05-13"
"ta_super_copine","alainnn","nope","2025-03-02"
"sanchezzz","dupontdupond","nope","2025-03-11"
"mercier59","nath","nope","2025-05-11"
"nath33","raygarnier","nope","2025-03-21"
"michmich","mercier59","nope","2025-01-02"
"falin","alainnn","nope","2025-05-02"
"morel_eric","denisparis","nope","2025-04-07"
"oliver","claudewhite","nope","2025-01-22"
"nath33","nathalie79","nope","2025-01-14"
"sophie","raygarnier","nope","2025-02-28"
"chris96","chris94","nope","2025-02-22"
"brunaa","supermatth","nope","2025-04-21"
"tj007","patoche","nope","2025-02-27"
"mercier59","xddl","nope","2025-01-05"
"fabrejean","fd1994","nope","2025-04-16"
"isa_belle","serge01","nope","2025-02-09"
"bernard_l","chris96","nope","2025-04-23"
"patrick_perez","oliver","nope","2025-05-18"
"eric35","sophie","nope","2025-01-21"
"serge01","nicoledubois","nope","2025-02-21"
"soso99","chris96","nope","2025-02-11"
"chris96","morel_eric","nope","2025-05-15"
"chris94","alainnn","nope","2025-01-01"
"morel_eric","chris94","nope","2025-03-19"
"fabrejean","georgesd","nope","2025-04-28"
"eric35","michmich","nope","2025-01-07"
"sophie","alainnn","nope","2025-01-25"
"robinm","ta_super_copine","nope","2025-03-20"
"martine95","thierry9292","nope","2025-03-25"
"nicoledubois","supermatth","nope","2025-05-02"
"ll9933","bernard_l","nope","2025-01-03"
"ymathieu","eric35","nope","2025-01-08"
"michelb","alainnn","nope","2025-02-25"
"claudewhite","isa_belle","nope","2025-01-29"
"georgesd","tj007","nope","2025-03-09"
"marc_le_grand","tj007","nope","2025-01-13"
"thierry9292","sophie","nope","2025-04-28"
"isa_belle","michmich","nope","2025-01-15"
"marc_le_grand","nath33","nope","2025-04-19"
"chris94","fabrejean","nope","2025-04-30"
"nathalie79","denisparis","nope","2025-01-10"
"robinm","isa37","nope","2025-04-02"
"vingt_cent","_hellene","nope","2025-03-22"
"mercier59","robinm","nope","2025-03-06"
"denisparis","michmich","nope","2025-02-20"
"bernard_l","chris94","nope","2025-05-01"
"michelb","nicog","nope","2025-02-09"
"supermatth","nicoledubois","nope","2025-01-22"
